accountvar.screen_name,id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
st_ffen,943906339,TotalKaiser,Tobias Kaiser,1168,391,1148,199,Berlin,de
st_ffen,213728429,observaitress,Vera Münch,856,1342,11385,4544,,de
st_ffen,66216917,WolfgangSwoboda,Wolfgang Swoboda,95,240,88,14,"Hamburg, Germany",en
st_ffen,598213238,sica____,Jessica Broscheit,134,413,157,182,"Hamburg, Deutschland",de
st_ffen,104137559,HAW_Hamburg,HAW Hamburg,3766,2494,5529,1133,Hamburg,de
st_ffen,1543715593,projour,PRO JOURNAL,316,381,1528,903,Universität Hamburg,de
st_ffen,54184375,andrehaller,André Haller,875,1855,1293,727,"Bamberg, Germany",de
st_ffen,20661363,zielwasser,Uta Meier-Hahn,1173,1270,5044,2763,Hamburg,de
st_ffen,701022607,BBC_News_Labs,BBC News Labs,18925,4762,2022,1144,London,en
st_ffen,2222123156,Journalism2ls,Journalism Tools,20382,1092,10895,9900,Brussels - New York - Tokyo,en
st_ffen,132089541,FHeinderyckx,Francois Heinderyckx,3122,670,8240,34,Brussels,en
st_ffen,122413878,PalgraveCultMed,Palgrave Culture & Media,3709,1248,2832,596,"London, New York, Shanghai",en
st_ffen,1680087926,St_Heumann,Stefan Heumann,2079,649,5759,3456,Berlin,de
st_ffen,255095426,Vielseher,Joachim Trebbe,266,246,450,140,Berlin,en
st_ffen,86277392,DJVde,Journalisten-Verband,27968,730,7858,3865,Berlin,de
st_ffen,45162945,MoritzBuchi,Moritz Büchi,752,1967,1810,527,"Zürich, Switzerland",en
st_ffen,1465367582,NathalieFurrer,Nathalie Furrer,1247,873,2261,560,Brussels,fr
st_ffen,22032403,politybooks,Polity,10166,3501,6307,1392,"Cambridge, Oxford, Boston, NY",en
st_ffen,326763914,steph_reuter,Stephanie Reuter,1142,1416,2826,6169,Hamburg | Berlin,de
st_ffen,15344145,DawnHFoster,Dawn Foster,66200,5443,136393,76714,dawn.foster[at]theguardian.com,en
st_ffen,17106461,sleemol,Shannon Molloy,12598,7642,65677,75474,"Sydney, New South Wales",en
st_ffen,22036165,stefanmschultz,Stefan Schultz,2499,522,4108,653,"38.446631,-9.102796",de
st_ffen,70706313,NiemanReports,Nieman Reports,29251,1587,11941,101,"Cambridge, MA",en
st_ffen,145637907,LSEpoliticsblog,LSE Politics&Policy,68501,8993,50188,145,London,en
st_ffen,2367431,cbpuschmann,Cornelius Puschmann,2356,303,9863,6658,"Hamburg, Germany",de
st_ffen,733618225,JoanBleicher,Joan Bleicher,1450,1934,147235,1260,,de
st_ffen,335181321,WLoosen,Wiebke Loosen,1727,449,8584,2358,"Hamburg, Germany",de
st_ffen,30923760,loriemerson,Lori Emerson,4912,1016,26416,6203,"Boulder, CO",en
st_ffen,988539692,alauraschneider,Laura Schneider,9214,1391,7900,598,"Berlin, Germany",de
st_ffen,116729780,FriendsofEurope,Friends of Europe,34207,1100,15765,2503,"Brussels, Belgium",en-gb
st_ffen,14497517,MEEDIA,MEEDIA,108065,415,38071,170,Hamburg,en
st_ffen,37171804,alexandrastark,Alexandra Stark,2984,1184,9711,6885,"Zurich, Switzerland",de
st_ffen,240321837,philipoltermann,Philip Oltermann,13708,2339,8186,1624,,en
st_ffen,373566331,TowCenter,Tow Center,16686,922,7296,1660,"New York, NY",en
st_ffen,15074483,tjoechler,Thomas Jöchler,993,1001,4488,1758,Wien,en-gb
st_ffen,14824990,gutjahr,Richard Gutjahr,141255,2861,30420,5184,Das Netz,de
st_ffen,469182585,risj_oxford,Reuters Institute,23642,2915,7428,4974,"University of Oxford, England",en
st_ffen,1489691,emilybell,emily bell,70032,7374,58981,21878,"ÜT: 40.812746,-73.973872",en
st_ffen,16333712,markdeuze,Mark Deuze,8295,4149,5820,3695,The Netherlands,en
st_ffen,760654,paulbradshaw,Paul Bradshaw,26314,11121,50153,1813,"Birmingham, UK",en
st_ffen,59456549,georgeprof,George Brock,6896,430,11633,569,London,en
st_ffen,95984800,JournoResource,Journalist's Resource,48990,8378,18015,475,Harvard Kennedy School,en
st_ffen,56772461,ShorensteinCtr,Shorenstein Center,14245,2633,15578,3126,"Cambridge, Massachusetts, USA",en
st_ffen,15482047,jeremycaplan,Jeremy Caplan,7165,1576,7600,3876,New York,en
st_ffen,4400221,StephenBalkam,Stephen Balkam,6309,2409,5792,621,"Washington, DC",en
st_ffen,23467113,fredericdubois,Frédéric Dubois,2819,3669,7469,654,Berlin // Montréal,fr
st_ffen,48272332,hatr,hakan ta█████r██,10171,1838,2381,27720,Munich,en
st_ffen,249180181,smekhennet,Souad Mekhennet,13339,1763,8309,1474,,de
st_ffen,8271262,zizip,Zizi Papacharissi,8462,1207,8368,3018,Chicago,en
st_ffen,2513671,lyssaslounge,Katharina Borchert,24655,2997,16884,16358,"San Francisco, CA",en
st_ffen,316516471,IntlMediaCenter,International Media,4412,2397,3949,50,Germany,en
st_ffen,24356808,strippel,Christian Strippel,1480,735,12249,14721,Berlin,de
st_ffen,17297084,einpflock,J. Einspänner-Pflock,1085,445,2704,98,Germany,en
st_ffen,149209651,tometweetme,Andreas Prokop,18380,15870,111987,24220,"Vienna, Austria",de
st_ffen,78807415,snurb_dot_info,Axel Bruns,7174,1737,61269,815,Brisbane (mostly),en-gb
st_ffen,14176770,ChrisStoecker,Christian Stöcker,25087,2731,11182,4880,"Hamburg, Germany",en
st_ffen,43672512,VinzenzWyss,Vinzenz Wyss,5930,1443,10837,4622,Zurich,en
st_ffen,40231827,axelmaireder,Axel Maireder,2542,1065,6018,1291,Vienna,de
